id,feedback,category,predicted_category
71,"The elevators in some buildings are not working properly. Overall, the experience has been mixed.",Facilities,Facilities
72,The library space is excellent for group discussions and solo study. Such improvements would greatly benefit everyone.,Facilities,Facilities
73,The elevators in some buildings are not working properly. It makes a real difference in daily student life.,Facilities,Facilities
74,"The elevators in some buildings are not working properly. It’s a step in the right direction, but more can be done.",Facilities,Facilities
75,"The library space is excellent for group discussions and solo study. Overall, the experience has been mixed.",Facilities,Facilities
76,"The auditorium is too small for hosting major college events. Overall, the experience has been mixed.",Facilities,Facilities
77,"The library space is excellent for group discussions and solo study. Overall, the experience has been mixed.",Facilities,Facilities
78,The elevators in some buildings are not working properly. Such improvements would greatly benefit everyone.,Facilities,Facilities
79,The auditorium is too small for hosting major college events. This needs urgent attention.,Facilities,Facilities
80,The library space is excellent for group discussions and solo study. It makes a real difference in daily student life.,Facilities,Facilities
81,The library space is excellent for group discussions and solo study. This needs urgent attention.,Facilities,Facilities
82,Toilets in academic blocks need more frequent cleaning. Such improvements would greatly benefit everyone.,Facilities,Facilities
83,"Toilets in academic blocks need more frequent cleaning. It’s a step in the right direction, but more can be done.",Facilities,Facilities
84,The elevators in some buildings are not working properly. This needs urgent attention.,Facilities,Facilities
85,The elevators in some buildings are not working properly. This needs urgent attention.,Facilities,Facilities
86,"The library space is excellent for group discussions and solo study. It’s a step in the right direction, but more can be done.",Facilities,Facilities
87,The auditorium is too small for hosting major college events. Such improvements would greatly benefit everyone.,Facilities,Facilities
88,"The auditorium is too small for hosting major college events. It’s a step in the right direction, but more can be done.",Facilities,Facilities
89,"The library space is excellent for group discussions and solo study. Overall, the experience has been mixed.",Facilities,Facilities
90,The library space is excellent for group discussions and solo study. It makes a real difference in daily student life.,Facilities,Facilities
91,"The library space is excellent for group discussions and solo study. Overall, the experience has been mixed.",Facilities,Facilities
92,The elevators in some buildings are not working properly. It makes a real difference in daily student life.,Facilities,Facilities
93,"The elevators in some buildings are not working properly. Overall, the experience has been mixed.",Facilities,Facilities
94,"The elevators in some buildings are not working properly. Overall, the experience has been mixed.",Facilities,Facilities
95,The auditorium is too small for hosting major college events. Such improvements would greatly benefit everyone.,Facilities,Facilities
96,"Toilets in academic blocks need more frequent cleaning. It’s a step in the right direction, but more can be done.",Facilities,Facilities
97,The elevators in some buildings are not working properly. This needs urgent attention.,Facilities,Facilities
98,"The elevators in some buildings are not working properly. It’s a step in the right direction, but more can be done.",Facilities,Facilities
99,"Our department’s classrooms have air conditioning and clean whiteboards. Overall, the experience has been mixed.",Facilities,Facilities
100,"The elevators in some buildings are not working properly. It’s a step in the right direction, but more can be done.",Facilities,Facilities
101,"The grievance redressal process should be more transparent. Overall, the experience has been mixed.",Administration,Administration
102,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
103,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
104,The grievance redressal process should be more transparent. Such improvements would greatly benefit everyone.,Administration,Administration
105,Clearer communication from the office about fee deadlines would help students a lot. It makes a real difference in daily student life.,Administration,Administration
106,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
107,Clearer communication from the office about fee deadlines would help students a lot. This needs urgent attention.,Administration,Administration
108,"I had a positive experience when applying for my transcripts this semester. It’s a step in the right direction, but more can be done.",Administration,Academics
109,"I had a positive experience when applying for my transcripts this semester. It’s a step in the right direction, but more can be done.",Administration,Academics
110,I had a positive experience when applying for my transcripts this semester. It makes a real difference in daily student life.,Administration,Academics
111,I had a positive experience when applying for my transcripts this semester. Such improvements would greatly benefit everyone.,Administration,Academics
112,Clearer communication from the office about fee deadlines would help students a lot. It makes a real difference in daily student life.,Administration,Administration
113,"The grievance redressal process should be more transparent. Overall, the experience has been mixed.",Administration,Administration
114,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
115,Too many layers of approval are required for simple administrative requests. This needs urgent attention.,Administration,Administration
116,Too many layers of approval are required for simple administrative requests. It makes a real difference in daily student life.,Administration,Administration
117,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
118,The admin office is often slow in processing student documents. This needs urgent attention.,Administration,Administration
119,Too many layers of approval are required for simple administrative requests. This needs urgent attention.,Administration,Administration
120,The admin office is often slow in processing student documents. It makes a real difference in daily student life.,Administration,Administration
121,I had a positive experience when applying for my transcripts this semester. Such improvements would greatly benefit everyone.,Administration,Academics
122,The admin office is often slow in processing student documents. Such improvements would greatly benefit everyone.,Administration,Administration
123,I had a positive experience when applying for my transcripts this semester. It makes a real difference in daily student life.,Administration,Academics
124,Too many layers of approval are required for simple administrative requests. This needs urgent attention.,Administration,Administration
125,The grievance redressal process should be more transparent. Such improvements would greatly benefit everyone.,Administration,Administration
126,"Clearer communication from the office about fee deadlines would help students a lot. It’s a step in the right direction, but more can be done.",Administration,Administration
127,I had a positive experience when applying for my transcripts this semester. Such improvements would greatly benefit everyone.,Administration,Academics
128,"I had a positive experience when applying for my transcripts this semester. Overall, the experience has been mixed.",Administration,Placements & Internships
129,"Clearer communication from the office about fee deadlines would help students a lot. It’s a step in the right direction, but more can be done.",Administration,Administration
130,Clearer communication from the office about fee deadlines would help students a lot. Such improvements would greatly benefit everyone.,Administration,Administration
131,"I had a positive experience when applying for my transcripts this semester. It’s a step in the right direction, but more can be done.",Administration,Academics
132,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
133,The admin office is often slow in processing student documents. Such improvements would greatly benefit everyone.,Administration,Administration
134,I had a positive experience when applying for my transcripts this semester. It makes a real difference in daily student life.,Administration,Academics
135,The admin office is often slow in processing student documents. This needs urgent attention.,Administration,Administration
136,"I had a positive experience when applying for my transcripts this semester. It’s a step in the right direction, but more can be done.",Administration,Academics
137,"Clearer communication from the office about fee deadlines would help students a lot. Overall, the experience has been mixed.",Administration,Administration
138,The grievance redressal process should be more transparent. It makes a real difference in daily student life.,Administration,Administration
139,"The admin office is often slow in processing student documents. It’s a step in the right direction, but more can be done.",Administration,Administration
140,Too many layers of approval are required for simple administrative requests. Such improvements would greatly benefit everyone.,Administration,Administration
141,"The admin office is often slow in processing student documents. It’s a step in the right direction, but more can be done.",Administration,Administration
142,Clearer communication from the office about fee deadlines would help students a lot. It makes a real difference in daily student life.,Administration,Administration
143,"Clearer communication from the office about fee deadlines would help students a lot. It’s a step in the right direction, but more can be done.",Administration,Administration
144,The admin office is often slow in processing student documents. It makes a real difference in daily student life.,Administration,Administration
145,"I had a positive experience when applying for my transcripts this semester. It’s a step in the right direction, but more can be done.",Administration,Academics
146,I had a positive experience when applying for my transcripts this semester. This needs urgent attention.,Administration,Academics
147,"I had a positive experience when applying for my transcripts this semester. Overall, the experience has been mixed.",Administration,Placements & Internships
148,Clearer communication from the office about fee deadlines would help students a lot. This needs urgent attention.,Administration,Administration
149,"Too many layers of approval are required for simple administrative requests. It’s a step in the right direction, but more can be done.",Administration,Administration
150,The admin office is often slow in processing student documents. It makes a real difference in daily student life.,Administration,Administration
151,"Professors are generally very approachable and helpful outside class hours. It’s a step in the right direction, but more can be done.",Faculty,Academics
152,"Some teachers just read slides without adding any extra explanation. Overall, the experience has been mixed.",Faculty,Academics
153,Certain faculty members frequently cancel or reschedule classes. This needs urgent attention.,Faculty,Faculty
154,"Faculty with industry experience bring valuable insights to class. Overall, the experience has been mixed.",Faculty,Faculty
155,Certain faculty members frequently cancel or reschedule classes. This needs urgent attention.,Faculty,Faculty
156,Certain faculty members frequently cancel or reschedule classes. Such improvements would greatly benefit everyone.,Faculty,Faculty
157,"Professors are generally very approachable and helpful outside class hours. It’s a step in the right direction, but more can be done.",Faculty,Academics
158,Certain faculty members frequently cancel or reschedule classes. It makes a real difference in daily student life.,Faculty,Faculty
159,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
160,"Professors are generally very approachable and helpful outside class hours. Overall, the experience has been mixed.",Faculty,Academics
161,Faculty with industry experience bring valuable insights to class. Such improvements would greatly benefit everyone.,Faculty,Faculty
162,Professors are generally very approachable and helpful outside class hours. This needs urgent attention.,Faculty,Academics
163,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
164,Faculty with industry experience bring valuable insights to class. It makes a real difference in daily student life.,Faculty,Faculty
165,Some teachers just read slides without adding any extra explanation. This needs urgent attention.,Faculty,Academics
166,"Faculty with industry experience bring valuable insights to class. Overall, the experience has been mixed.",Faculty,Faculty
167,"Some teachers just read slides without adding any extra explanation. It’s a step in the right direction, but more can be done.",Faculty,Academics
168,Some teachers just read slides without adding any extra explanation. This needs urgent attention.,Faculty,Academics
169,"Some teachers just read slides without adding any extra explanation. It’s a step in the right direction, but more can be done.",Faculty,Academics
170,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
171,"Faculty with industry experience bring valuable insights to class. It’s a step in the right direction, but more can be done.",Faculty,Faculty
172,Some teachers just read slides without adding any extra explanation. Such improvements would greatly benefit everyone.,Faculty,Academics
173,Certain faculty members frequently cancel or reschedule classes. It makes a real difference in daily student life.,Faculty,Faculty
174,"Faculty with industry experience bring valuable insights to class. It’s a step in the right direction, but more can be done.",Faculty,Faculty
175,Professors are generally very approachable and helpful outside class hours. This needs urgent attention.,Faculty,Academics
176,"Professors are generally very approachable and helpful outside class hours. Overall, the experience has been mixed.",Faculty,Academics
177,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
178,Faculty with industry experience bring valuable insights to class. Such improvements would greatly benefit everyone.,Faculty,Faculty
179,It’s great that faculty are open to feedback from students. It makes a real difference in daily student life.,Faculty,Faculty
180,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
181,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
182,Faculty with industry experience bring valuable insights to class. It makes a real difference in daily student life.,Faculty,Faculty
183,Professors are generally very approachable and helpful outside class hours. Such improvements would greatly benefit everyone.,Faculty,Academics
184,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
185,It’s great that faculty are open to feedback from students. It makes a real difference in daily student life.,Faculty,Faculty
186,Faculty with industry experience bring valuable insights to class. It makes a real difference in daily student life.,Faculty,Faculty
187,"It’s great that faculty are open to feedback from students. It’s a step in the right direction, but more can be done.",Faculty,Faculty
188,"It’s great that faculty are open to feedback from students. It’s a step in the right direction, but more can be done.",Faculty,Faculty
189,It’s great that faculty are open to feedback from students. Such improvements would greatly benefit everyone.,Faculty,Faculty
190,Certain faculty members frequently cancel or reschedule classes. This needs urgent attention.,Faculty,Faculty
191,Certain faculty members frequently cancel or reschedule classes. This needs urgent attention.,Faculty,Faculty
192,Some teachers just read slides without adding any extra explanation. It makes a real difference in daily student life.,Faculty,Academics
193,Faculty with industry experience bring valuable insights to class. Such improvements would greatly benefit everyone.,Faculty,Faculty
194,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
195,"It’s great that faculty are open to feedback from students. Overall, the experience has been mixed.",Faculty,Faculty
196,"Some teachers just read slides without adding any extra explanation. Overall, the experience has been mixed.",Faculty,Academics
197,Faculty with industry experience bring valuable insights to class. This needs urgent attention.,Faculty,Faculty
198,Professors are generally very approachable and helpful outside class hours. Such improvements would greatly benefit everyone.,Faculty,Academics
199,"Faculty with industry experience bring valuable insights to class. It’s a step in the right direction, but more can be done.",Faculty,Faculty
200,"Professors are generally very approachable and helpful outside class hours. Overall, the experience has been mixed.",Faculty,Academics
201,More support is needed for students aiming for internships in research roles. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
202,More support is needed for students aiming for internships in research roles. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
203,"More support is needed for students aiming for internships in research roles. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
204,"Internship registration deadlines are often too close to final exams. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
205,More support is needed for students aiming for internships in research roles. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
206,The placement cell is helpful and shares regular updates on job opportunities. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
207,More support is needed for students aiming for internships in research roles. This needs urgent attention.,Placements & Internships,Placements & Internships
208,"Internship registration deadlines are often too close to final exams. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
209,"Internship registration deadlines are often too close to final exams. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
210,Internship registration deadlines are often too close to final exams. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
211,"Companies visiting the campus mostly hire for tech roles; other domains get fewer options. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
212,Mock interviews conducted by the placement team were extremely helpful. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
213,Mock interviews conducted by the placement team were extremely helpful. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
214,Internship registration deadlines are often too close to final exams. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
215,"Mock interviews conducted by the placement team were extremely helpful. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
216,Companies visiting the campus mostly hire for tech roles; other domains get fewer options. Such improvements would greatly benefit everyone.,Placements & Internships,Facilities
217,"The placement cell is helpful and shares regular updates on job opportunities. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
218,More support is needed for students aiming for internships in research roles. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
219,"Internship registration deadlines are often too close to final exams. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
220,"Mock interviews conducted by the placement team were extremely helpful. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
221,"Companies visiting the campus mostly hire for tech roles; other domains get fewer options. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
222,Internship registration deadlines are often too close to final exams. This needs urgent attention.,Placements & Internships,Placements & Internships
223,"The placement cell is helpful and shares regular updates on job opportunities. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
224,The placement cell is helpful and shares regular updates on job opportunities. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
225,"Companies visiting the campus mostly hire for tech roles; other domains get fewer options. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
226,"The placement cell is helpful and shares regular updates on job opportunities. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
227,"Companies visiting the campus mostly hire for tech roles; other domains get fewer options. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
228,Internship registration deadlines are often too close to final exams. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
229,Mock interviews conducted by the placement team were extremely helpful. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
230,Mock interviews conducted by the placement team were extremely helpful. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
231,The placement cell is helpful and shares regular updates on job opportunities. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
232,The placement cell is helpful and shares regular updates on job opportunities. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
233,"Mock interviews conducted by the placement team were extremely helpful. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
234,Companies visiting the campus mostly hire for tech roles; other domains get fewer options. Such improvements would greatly benefit everyone.,Placements & Internships,Facilities
235,"Companies visiting the campus mostly hire for tech roles; other domains get fewer options. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
236,Mock interviews conducted by the placement team were extremely helpful. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
237,"Mock interviews conducted by the placement team were extremely helpful. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
238,"More support is needed for students aiming for internships in research roles. It’s a step in the right direction, but more can be done.",Placements & Internships,Placements & Internships
239,"The placement cell is helpful and shares regular updates on job opportunities. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
240,Companies visiting the campus mostly hire for tech roles; other domains get fewer options. This needs urgent attention.,Placements & Internships,Placements & Internships
241,Companies visiting the campus mostly hire for tech roles; other domains get fewer options. This needs urgent attention.,Placements & Internships,Placements & Internships
242,More support is needed for students aiming for internships in research roles. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
243,Companies visiting the campus mostly hire for tech roles; other domains get fewer options. Such improvements would greatly benefit everyone.,Placements & Internships,Facilities
244,Internship registration deadlines are often too close to final exams. It makes a real difference in daily student life.,Placements & Internships,Placements & Internships
245,"More support is needed for students aiming for internships in research roles. Overall, the experience has been mixed.",Placements & Internships,Placements & Internships
246,The placement cell is helpful and shares regular updates on job opportunities. This needs urgent attention.,Placements & Internships,Placements & Internships
247,Mock interviews conducted by the placement team were extremely helpful. This needs urgent attention.,Placements & Internships,Placements & Internships
248,More support is needed for students aiming for internships in research roles. This needs urgent attention.,Placements & Internships,Placements & Internships
249,The placement cell is helpful and shares regular updates on job opportunities. Such improvements would greatly benefit everyone.,Placements & Internships,Placements & Internships
250,More support is needed for students aiming for internships in research roles. This needs urgent attention.,Placements & Internships,Placements & Internships
251,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. Such improvements would greatly benefit everyone.",Hostel & Accommodation,Hostel & Accommodation
252,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It makes a real difference in daily student life.",Hostel & Accommodation,Hostel & Accommodation
253,Water supply in the hostel has been irregular during weekends. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
254,"Water supply in the hostel has been irregular during weekends. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
255,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
256,I wish there were more single occupancy rooms in the hostel. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
257,The new security system in hostels has made students feel much safer. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
258,"Water supply in the hostel has been irregular during weekends. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
259,"Mess food is improving, but the quality can still be inconsistent. Overall, the experience has been mixed.",Hostel & Accommodation,Facility
260,Water supply in the hostel has been irregular during weekends. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
261,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
262,Water supply in the hostel has been irregular during weekends. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
263,"I wish there were more single occupancy rooms in the hostel. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
264,"Water supply in the hostel has been irregular during weekends. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
265,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
266,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
267,"Water supply in the hostel has been irregular during weekends. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
268,"Mess food is improving, but the quality can still be inconsistent. It makes a real difference in daily student life.",Hostel & Accommodation,Facilities
269,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
270,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. This needs urgent attention.",Hostel & Accommodation,Hostel & Accommodation
271,The new security system in hostels has made students feel much safer. It makes a real difference in daily student life.,Hostel & Accommodation,Hostel & Accommodation
272,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
273,"Mess food is improving, but the quality can still be inconsistent. This needs urgent attention.",Hostel & Accommodation,Facilities
274,The new security system in hostels has made students feel much safer. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
275,The new security system in hostels has made students feel much safer. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
276,"I wish there were more single occupancy rooms in the hostel. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
277,"I wish there were more single occupancy rooms in the hostel. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
278,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
279,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. This needs urgent attention.",Hostel & Accommodation,Hostel & Accommodation
280,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
281,"The hostel rooms are cleaned regularly, and the warden is responsive to issues. It’s a step in the right direction, but more can be done.",Hostel & Accommodation,Hostel & Accommodation
282,Water supply in the hostel has been irregular during weekends. Such improvements would greatly benefit everyone.,Hostel & Accommodation,Hostel & Accommodation
283,"The new security system in hostels has made students feel much safer. Overall, the experience has been mixed.",Hostel & Accommodation,Hostel & Accommodation
284,"Mess food is improving, but the quality can still be inconsistent. Overall, the experience has been mixed.",Hostel & Accommodation,Facility
285,Water supply in the hostel has been irregular during weekends. This needs urgent attention.,Hostel & Accommodation,Hostel & Accommodation
